reference,address,zip_code,city,country,manager_name
0,442 Samara Manor,63072-9787,West Deshaun,Netherlands,Timmothy Weimanna
1,785 Grayce Ramp,51838,West Elnora,Syrian Arab Republic,Dr. Anne Ledner
2,147 Bechtelar Squares,85045,Colefort,Kazakhstan,Theresa Olson
3,489 Elliott Plains,66348-4784,North Jacquesview,Egypt,Chad Denesik
4,8472 Jimmy Course,66315-4416,Rickieside,Saint Helena,Jeanne Langosh
5,37968 Schultz Views,81382-6352,Morissettebury,Iraq,Macy Roob
6,155 Prosacco Overpass,11741,Hagenesfurt,Netherlands Antilles,Mohammad Rowe DVM
7,2617 Rod Ports,38884-9612,Erdmanland,Armenia,Keon Tillman
8,84070 Matilde Station,46517,Callieberg,Falkland Islands (Malvinas),Rowena Mosciski
9,1463 Jacobs Roads,25225-2971,Austynstad,Liechtenstein,Kianna Corkery MD
10,2621 Anderson Stream,34384-2087,New Dixieville,Uganda,Jerod Luettgen III
11,2885 Orville Crest,14843,Grantside,Madagascar,Nia Kertzmann
12,21402 Rocky Garden,40820,Amandabury,Cote d'Ivoire,Kevon Schinner
13,5429 Rozella Grove,35509-4400,East Kian,Marshall Islands,Shany Torp
14,80817 Newell Center,95380-0985,East Anabelle,Netherlands Antilles,Emma Prosacco
15,651 West Mews,72583,Emardfurt,Dominican Republic,Lavada Dibbert
16,85323 Edgardo Cove,60153,Nathenfort,Saudi Arabia,Bria Mante
17,120 Olson Ridge,15595,Skilesburgh,Guatemala,Marianna Bauch
18,87921 Clement Trail,31578-8200,Curtfort,United Kingdom,Orland Abernathy
19,835 Clarissa Spur,77242-1057,Lake Hiltonberg,Seychelles,Aryanna Kuhic
20,4560 Stehr Flats,77678-1186,South Rita,French Polynesia,Antone Dickinson
21,937 Herzog Glens,49936-3046,Kleinbury,Peru,Malcolm Hayes
22,193 Kassulke Common,12612,Hirtheport,Kazakhstan,Leopold Wintheiser Sr.
23,40976 Fay Passage,50968,Russellmouth,Jamaica,Marcia Hahn
24,480 Rodriguez Trail,25673-5460,Lake Nathanial,Turks and Caicos Islands,Curt Hayes
25,254 Gerlach Mission,93441-2292,Port Talonton,Denmark,Mina Kshlerin
26,750 Jazmyne Fork,62679-8867,North Gwenview,British Indian Ocean Territory (Chagos Archipelago),Scottie Bednar
27,4931 Nickolas Street,69647-2636,Lilabury,Bahamas,Vena Stroman
